,Rank,Title,Score,popularity,Members,Type,Episodes,Genre,Demographic,Start Date,End Date,Image,Link,Start Year,End Year
129,130,Yakusoku no Neverland,8.5,37,1911282,TV,12,"['Fantasy', 'Mystery', 'Sci-Fi', 'Suspense']",Shounen,2019-01-01,2019-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/1830/118780.jpg?s=d1e8816a28f501eadab469cdf462b5ce,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,2019,2019.0
130,131,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,131,1086420,TV,39,"['Action', 'Adventure', 'Supernatural']",Shounen,2016-01-04,2016-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/3/79156.jpg?s=096d28b5807d497227e2090619e33bbd,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,2016,2016.0
131,132,Ansatsu Kyoushitsu 2nd Season,8.49,84,1392651,TV,25,"['Action', 'Comedy']",Shounen,2016-01-01,2016-01-07,https://cdn.myanimelist.net/r/100x140/images/anime/8/77966.jpg?s=55ca544b2456b257e2e93daaa8eda499,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,2016,2016.0
132,133,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.49,593,376170,Movie,1,"['Action', 'Fantasy', 'Supernatural']",,2019-01-01,2019-01-01,https://cdn.myanimelist.net/r/100x140/images/anime/1974/98158.jpg?s=2e76d021502004094caeb7e8149a7a7b,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,2019,2019.0
133,134,Karakai Jouzu no Takagi-san Movie,8.49,2577,66419,Movie,1,,Shounen,2022-01-06,2022-01-06,https://cdn.myanimelist.net/r/100x140/images/anime/1376/123398.jpg?s=6532f0c886865329fd3854f53dc188c2,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie,2022,2022.0
134,135,Kimetsu no Yaiba,8.49,7,2907685,TV,26,"['Action', 'Award Winning', 'Fantasy']",Shounen,2019-01-04,2019-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1286/99889.jpg?s=396996f14afe185d5eae4d93cc9fd6c7,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,2019,2019.0
135,136,Mob Psycho 100,8.49,32,2007449,TV,12,"['Action', 'Comedy', 'Supernatural']",,2016-01-07,2016-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/8/80356.jpg?s=0c29ec4cb56d96d56c97a157f083751d,https://myanimelist.net/anime/32182/Mob_Psycho_100,2016,2016.0
136,137,Uchuu Kyoudai,8.49,1201,190327,TV,99,"['Comedy', 'Sci-Fi']",Seinen,2012-01-04,2014-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/1290/135694.jpg?s=bd73f91b22d3a40080296ffd144622cc,https://myanimelist.net/anime/12431/Uchuu_Kyoudai,2012,2014.0
137,138,Aria the Origination,8.48,1688,126148,TV,13,"['Fantasy', 'Sci-Fi', 'Slice of Life']",Shounen,2008-01-01,2008-01-04,https://cdn.myanimelist.net/r/100x140/images/anime/1394/129606.jpg?s=db95e2fb800c66e1a638a3610c8d46f2,https://myanimelist.net/anime/3297/Aria_the_Origination,2008,2008.0
138,139,Banana Fish,8.48,203,834563,TV,24,"['Action', 'Adventure', 'Drama', 'Suspense']",Shoujo,2018-01-07,2018-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/1190/93472.jpg?s=f9b6cf0ae178bb3075023f6d36c96715,https://myanimelist.net/anime/36649/Banana_Fish,2018,2018.0
139,140,Gintama: The Semi-Final,8.47,2432,72928,Special,2,"['Action', 'Comedy']",Shounen,2021-01-01,2021-01-01,https://cdn.myanimelist.net/r/100x140/images/anime/1694/110521.jpg?s=6bc2965dc7249124ca47bff1bfbf7504,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final,2021,2021.0
